City_ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
279,3671549,Puerto Asís,CO,0.5133,-76.5007,73.2,78,61,1.34
280,2145554,Ulladulla,AU,-35.35,150.4667,61.34,92,100,6.58
281,581321,Aprelevka,RU,55.5519,37.0801,33.44,93,100,11.18
282,3662342,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,72.5,99,99,1.52
283,4787534,Sterling,US,39.0062,-77.4286,30.58,77,100,3.44
284,3421719,Narsaq,GL,60.9167,-46.05,6.55,64,0,8.48
285,3374333,Praia,CV,14.9215,-23.5087,72.14,78,20,17.27
286,2126123,Chokurdakh,RU,70.6333,147.9167,-12.59,100,67,1.7
287,2520645,Cabra,ES,37.4725,-4.4421,51.15,88,62,2.8
288,6096551,Pangnirtung,CA,66.1451,-65.7125,2.77,82,96,5.99
289,5546220,Saint George,US,37.1041,-113.5841,40.03,54,0,3.44
290,1489853,Tazovsky,RU,67.4667,78.7,-8.84,98,98,11.56
291,5955902,Fort Nelson,CA,58.8053,-122.7002,-42.21,60,20,3.44
292,3380290,Sinnamary,GF,5.3833,-52.95,76.6,85,99,10.74
293,934322,Mahébourg,MU,-20.4081,57.7,77.29,73,20,6.91
294,1490256,Talnakh,RU,69.4865,88.3972,-12.8,94,100,10.42
295,2399001,Mayumba,GA,-3.432,10.6554,75.0,90,87,1.79
296,2137773,Vao,NC,-22.6667,167.4833,77.07,78,96,15.08
297,4013679,Coahuayana Viejo,MX,18.7333,-103.6833,69.73,84,12,3.71
298,3440777,Rocha,UY,-34.4833,-54.3333,59.25,93,10,7.52
299,2969561,Arrondissement de Vesoul,FR,47.5833,5.8333,54.41,85,96,22.46
300,2138555,Poum,NC,-20.2333,164.0167,79.99,76,63,7.29
301,3448903,São João da Barra,BR,-21.6403,-41.0511,70.21,90,44,14.52
302,1507390,Dikson,RU,73.5069,80.5464,-19.41,91,100,6.53
303,4323873,Estelle,US,29.8458,-90.1067,50.14,88,100,5.75
304,211647,Lodja,CD,-3.4833,23.4333,67.73,99,100,2.06
305,8079926,Labuhan,ID,-6.8844,112.2051,85.73,68,97,10.89
306,2445704,Diffa,NE,13.3154,12.6113,60.03,41,24,9.64
307,108410,Riyadh,SA,24.6877,46.7219,53.74,38,100,7.94
308,2082539,Merauke,ID,-8.4667,140.3333,84.45,71,100,6.46
309,3391889,Pitimbu,BR,-7.4706,-34.8086,79.39,77,75,5.82
310,5367788,Lompoc,US,34.6391,-120.4579,53.1,82,8,7.61
311,3336897,La Rioja,ES,42.25,-2.5,35.38,83,52,6.6
312,6255012,Flinders,AU,-34.5833,150.8552,66.47,79,100,8.52
313,2290849,Bouna,CI,9.2667,-3.0,69.12,24,90,6.13
314,893697,Chinhoyi,ZW,-17.3667,30.2,64.27,90,100,5.44
315,497927,Segezha,RU,63.7415,34.3222,32.59,99,100,6.58
316,2074865,Carnarvon,AU,-24.8667,113.6333,87.87,48,0,13.98
317,1529484,Kumul,CN,42.8,93.45,24.78,36,0,4.27
318,557469,Igra,RU,57.5558,53.0547,3.94,95,99,10.58
319,1855540,Naze,JP,28.3667,129.4833,56.32,53,46,25.41
320,3663684,Lábrea,BR,-7.2586,-64.7981,70.65,99,95,2.77
321,3578967,Le Moule,GP,16.3332,-61.3473,76.17,100,80,3.0
322,3361934,Saldanha,ZA,-33.0117,17.9442,64.45,94,0,6.33
323,3592086,Ocós,GT,14.5094,-92.1933,78.17,76,80,4.68
324,2125945,Dolinsk,RU,47.35,142.8,22.66,78,23,6.78
325,1788450,Xinzhou,CN,38.4092,112.7333,22.46,25,0,6.11
326,6945986,La Malbaie,CA,47.6575,-70.1559,27.14,81,20,7.65
327,6115187,Quesnel,CA,52.9999,-122.5029,-34.1,67,100,0.0
328,2161515,Kiama,AU,-34.6833,150.8667,66.43,83,100,1.01
329,1295765,Sittwe,MM,20.15,92.9,73.96,49,53,4.16
330,338345,Edd,ER,13.9297,41.6925,77.22,68,8,15.9
331,323828,Anamur,TR,36.0751,32.8369,56.21,50,4,6.29
332,1052373,Beira,MZ,-19.8436,34.8389,80.1,78,100,20.0
333,3936456,Lima,PE,-12.0432,-77.0282,70.9,81,20,14.97
334,1715015,Dicabisagan,PH,17.0818,122.4157,74.88,87,99,12.77
335,2208332,Opotiki,NZ,-38.0833,177.2833,72.39,63,14,7.14
336,2231504,Foumbot,CM,5.5079,10.6356,62.6,64,86,3.89
337,3604395,Nueva Armenia,HN,15.7956,-86.4985,75.38,92,28,4.5
338,1860871,Kadoma,JP,34.7333,135.5833,48.97,81,75,24.16
339,2374583,Bubaque,GW,11.2833,-15.8333,81.25,65,99,6.8
340,2181625,Te Anau,NZ,-45.4167,167.7167,64.85,73,99,2.8
341,5021632,Cloquet,US,46.7216,-92.4594,-4.22,82,100,3.51
342,5503914,Fallon,US,39.4735,-118.7774,37.69,75,75,9.22
343,2094342,Kavieng,PG,-2.5744,150.7967,84.13,69,99,7.74
344,3533462,Acapulco de Juárez,MX,16.8634,-99.8901,77.38,70,0,5.73
345,3443061,Chui,UY,-33.6971,-53.4616,64.4,88,11,9.28
346,1510689,Baykit,RU,61.67,96.37,7.84,97,100,2.73
347,1815456,Changzhou,CN,31.7833,119.9667,38.52,24,10,18.92
348,1737714,Limbang,MY,4.75,115.0,84.06,66,66,4.7
349,1259385,Port Blair,IN,11.6667,92.75,84.24,74,40,8.05
